Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Time,Date
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001,206.7260873701415,207.5664715128777,0.478564977645874,2024-12-26 00:55:36
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0012589254117941675,206.72772338805083,207.56616062429308,0.47567129135131836,2024-12-26 00:56:22
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001584893192461114,206.7297830185072,207.5657701903912,0.4870734214782715,2024-12-26 00:57:07
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001995262314968879,206.7323759490899,207.5652802320229,0.4796736240386963,2024-12-26 00:57:53
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0025118864315095794,206.73564026966517,207.56466595859143,0.474212646484375,2024-12-26 00:58:39
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0031622776601683794,206.73974982857035,207.56389601431385,0.4856410026550293,2024-12-26 00:59:25
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.003981071705534973,206.74492349281272,207.56293272554046,0.48551392555236816,2024-12-26 01:00:11
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.005011872336272725,206.75143680941758,207.56172875993693,0.4887080192565918,2024-12-26 01:00:56
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.00630957344480193,206.75963670739432,207.56022819700706,0.48063230514526367,2024-12-26 01:01:42
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.007943282347242814,206.76995992535984,207.55836288266292,0.48012447357177734,2024-12-26 01:02:27
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01,206.7829563184084,207.5560801221443,0.47800135612487793,2024-12-26 01:03:13
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.012589254117941675,206.79931814266965,207.55322511813458,0.477400541305542,2024-12-26 01:03:59
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01584893192461114,206.8199170409889,207.54970092071702,0.48575258255004883,2024-12-26 01:04:44
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0199526231496888,206.84585041438314,207.54538852870112,0.4855773448944092,2024-12-26 01:05:30
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.025118864315095808,206.87850005100026,207.5402918659902,0.47487974166870117,2024-12-26 01:06:16
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.03162277660168379,206.91960589536677,207.53426418286125,0.4725029468536377,2024-12-26 01:07:01
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.039810717055349734,206.97135892207436,207.52721673690053,0.47317028045654297,2024-12-26 01:07:47
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.05011872336272725,207.03651811617286,207.51932292465165,0.48155999183654785,2024-12-26 01:08:32
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.06309573444801933,207.11855803992552,207.51044074930138,0.47315311431884766,2024-12-26 01:09:18
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.07943282347242818,207.22185552350757,207.50172087181022,0.4802093505859375,2024-12-26 01:10:03
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.1,207.35192349638382,207.4939887796631,0.4787578582763672,2024-12-26 01:10:49
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.12589254117941676,207.51570493326537,207.4891389470703,0.4659261703491211,2024-12-26 01:11:35
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.15848931924611143,207.7219523346781,207.4908516222307,0.4758570194244385,2024-12-26 01:12:20
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.19952623149688808,207.98170274039964,207.50492819922047,0.4882056713104248,2024-12-26 01:13:06
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.25118864315095824,208.30886216595272,207.53950366544592,0.4806346893310547,2024-12-26 01:13:51
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.31622776601683794,208.72097301045807,207.6072888646469,0.47310543060302734,2024-12-26 01:14:37
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.3981071705534973,209.24015838046134,207.72786902454678,0.4814128875732422,2024-12-26 01:15:23
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.5011872336272725,209.89436094950534,207.92433810735548,0.4758188724517822,2024-12-26 01:16:08
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.6309573444801936,210.71887326059473,208.22962048795517,0.48305177688598633,2024-12-26 01:16:54
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.7943282347242822,211.7583690439125,208.6775681638561,0.49411487579345703,2024-12-26 01:17:40
100,10,0.25,200,20,260,0.1,0.02,0.2,2,1.0,213.06938865194817,209.30541178446137,0.4802718162536621,2024-12-26 01:18:26
100,10,0.25,200,20,260,0.1,0.02,0.2,2,1.2589254117941675,214.7233222650941,210.1516534814725,0.4827446937561035,2024-12-26 01:19:12
100,10,0.25,200,20,260,0.1,0.02,0.2,2,1.584893192461114,216.81043761795212,211.2599872901545,0.4782891273498535,2024-12-26 01:19:58
100,10,0.25,200,20,260,0.1,0.02,0.2,2,1.9952623149688808,219.4436982956622,212.68097971246624,0.4754319190979004,2024-12-26 01:20:43
100,10,0.25,200,20,260,0.1,0.02,0.2,2,2.5118864315095824,222.7640244954494,214.48517617853346,0.47681403160095215,2024-12-26 01:21:29
100,10,0.25,200,20,260,0.1,0.02,0.2,2,3.1622776601683795,226.94370635910755,216.79795154797003,0.47480297088623047,2024-12-26 01:22:15
100,10,0.25,200,20,260,0.1,0.02,0.2,2,3.981071705534973,232.17209244291277,219.77021065542888,0.48809170722961426,2024-12-26 01:23:01
100,10,0.25,200,20,260,0.1,0.02,0.2,2,5.011872336272725,238.60733651278701,223.7254995051719,0.4823122024536133,2024-12-26 01:23:47
100,10,0.25,200,20,260,0.1,0.02,0.2,2,6.309573444801936,246.08191273911004,229.62075253349633,0.4816617965698242,2024-12-26 01:24:33
100,10,0.25,200,20,260,0.1,0.02,0.2,2,7.943282347242821,253.7874540486798,236.58373156549789,0.47715306282043457,2024-12-26 01:25:18
100,10,0.25,200,20,260,0.1,0.02,0.2,2,10.0,261.4539625832869,243.18161174039352,0.45787644386291504,2024-12-26 01:26:01
