Historical_N,Evaluation_N,Num_Retailers,f,h,c,b,epsilon_N,Train_Average_Cost,Test_Average_Cost,Date
800,10000,3,0,0.05,0.25,0.5,0.05011872336272725,19.394250391296428,20.69274670363039,2024-12-23 03:34:34
800,10000,3,0,0.05,0.25,0.5,0.05623413251903491,19.41173497441542,20.666800054051787,2024-12-23 03:42:35
800,10000,3,0,0.05,0.25,0.5,0.06309573444801933,19.43244582261761,20.636709533483746,2024-12-23 03:50:38
800,10000,3,0,0.05,0.25,0.5,0.0707945784384138,19.45460545407507,20.60352489222591,2024-12-23 03:58:42
800,10000,3,0,0.05,0.25,0.5,0.07943282347242818,19.48114689515242,20.56952452573759,2024-12-23 04:06:46
800,10000,3,0,0.05,0.25,0.5,0.08912509381337459,19.51280054261508,20.536064125258186,2024-12-23 04:14:52
800,10000,3,0,0.05,0.25,0.5,0.1,19.551193911180636,20.495300454165527,2024-12-23 04:23:00
800,10000,3,0,0.05,0.25,0.5,0.11220184543019641,19.595272893087767,20.4598185448466,2024-12-23 04:31:10
800,10000,3,0,0.05,0.25,0.5,0.12589254117941676,19.64499823088014,20.43209836510196,2024-12-23 04:39:21
800,10000,3,0,0.05,0.25,0.5,0.1412537544622754,19.70733457299759,20.394114827711146,2024-12-23 04:47:36
800,10000,3,0,0.05,0.25,0.5,0.15848931924611143,19.778732620772324,20.36165794223557,2024-12-23 04:55:53
800,10000,3,0,0.05,0.25,0.5,0.1778279410038923,19.859219053873446,20.32838220132689,2024-12-23 05:04:14
800,10000,3,0,0.05,0.25,0.5,0.19952623149688808,19.954015146435566,20.299570373743432,2024-12-23 05:12:39
800,10000,3,0,0.05,0.25,0.5,0.223872113856834,20.061713471043767,20.277970813521016,2024-12-23 05:21:09
800,10000,3,0,0.05,0.25,0.5,0.25118864315095824,20.179513790334138,20.264113484354297,2024-12-23 05:29:45
800,10000,3,0,0.05,0.25,0.5,0.2818382931264455,20.310477197646254,20.26748350880943,2024-12-23 05:38:29
800,10000,3,0,0.05,0.25,0.5,0.31622776601683794,20.46036293374543,20.280842752506768,2024-12-23 05:47:26
800,10000,3,0,0.05,0.25,0.5,0.3548133892335757,20.618809669231176,20.302001778411444,2024-12-23 05:56:35
800,10000,3,0,0.05,0.25,0.5,0.3981071705534973,20.793054721337523,20.336592561780904,2024-12-23 06:06:02
800,10000,3,0,0.05,0.25,0.5,0.4466835921509635,20.979161806246825,20.39451200089818,2024-12-23 06:15:54
800,10000,3,0,0.05,0.25,0.5,0.5011872336272725,21.171680247549798,20.479211719977744,2024-12-23 06:26:12
800,10000,3,0,0.05,0.25,0.5,0.5623413251903491,21.375704614304844,20.588323528607003,2024-12-23 06:37:09
800,10000,3,0,0.05,0.25,0.5,0.6309573444801936,21.5820916795437,20.725576243692277,2024-12-23 06:49:02
800,10000,3,0,0.05,0.25,0.5,0.707945784384138,21.785568578139717,20.87854522814166,2024-12-23 07:02:21
800,10000,3,0,0.05,0.25,0.5,0.7943282347242822,21.991195559056173,21.024985833766365,2024-12-23 07:18:11
800,10000,3,0,0.05,0.25,0.5,0.8912509381337459,22.1995958076602,21.15502236619166,2024-12-23 07:38:22
800,10000,3,0,0.05,0.25,0.5,1.0,22.41574398040059,21.24792810966411,2024-12-23 08:06:56
